Avalanche#TRdog, 2136, Destek, Poke / Mage
joji#XDD, 946, Destek, Enchanter / Protect
Dark Magician#19035, 946, Orta Koridor, Assassin / Mage
dc gg pepeler#36963, 945, Orta Koridor, Skirmisher / Critical
SA BEN DOPA#21gr, 942, Nisanci (ADC), Hypercarry / Tank Buster
woo walk#igris, 941, Ust Koridor, Skirmisher / Mobile
Beni Şaşırttın#ˉˉˉ, 939, Destek, Enchanter / Heal
Sunless#暗い空, 936, Orta Koridor, Scaling / Sustain
Swiislor#6292, 935, Orta Koridor, Marksman / Roam
DİØ BRANDØ#TR1, 935, Nisanci (ADC), Assassin / Hypercarry
kick tireurennu#13xu, 930, Orta Koridor, Assassin / Shadow
Lxnt#Bruh, 930, Orman, Mage / Ambush
gadas#TR1, 918, Ust Koridor, Duelist / Diver
Drew#EUW2, 917, Orta Koridor, Skirmisher / Magic
Catriona#diva, 916, Destek, Enchanter / Mage
LOBBY ADMIN#XYZ, 916, Orta Koridor, Assassin / Roam
Aelisia#7777, 912, Nisanci (ADC), Hypercarry / Tank Buster
Cıva#LoL, 911, Ust Koridor, Juggernaut / Magic
CT Siparus TNT#TR1, 909, Nisanci (ADC), Lane Bully / Snowball
Twtv PyrisTTT#123, 908, Orta Koridor, Skirmisher / Critical
suki#ad237, 907, Nisanci (ADC), Lane Bully / Burst
zorbadırgüzellik#11111, 905, Orman, Playmaker / Skirmisher
THOMY#BIG, 901, Orman, Assassin / Diver
Clay#Peony, 901, Ust Koridor, Duelist / Splitpush
Kings Never Die#769, 899, Orta Koridor, Mage / Anti-Dash
k mid1#1111, 891, Orta Koridor, Assassin / Mage
loath veiled ire#111, 891, Orta Koridor, Assassin / Reset
lame en peine#0000, 888, Nisanci (ADC), Poke / Utility
kucuk kiz#ppi, 887, Destek, Enchanter / Disengage
yunik#00001, 885, Ust Koridor, Juggernaut / Drain
Spot#TR1, 883, Orta Koridor, Skirmisher / Critical
Luante#0000, 883, Ust Koridor, Teamfight / Engage
Vlessok#TR1, 880, Nisanci (ADC), Hypercarry / Stealth
Thank you next#TR1, 879, Orta Koridor, Assassin / AD Burst
Goddess Wind#CAT, 878, Orta Koridor, Skirmisher / Critical
Snophén#Nami, 877, Destek, Enchanter / Engage
ÇAPINIZ YETMEZ#7777, 877, Nisanci (ADC), Lane Bully / Burst
El Amarna#TR01, 876, Destek, Enchanter / Heal
wka#888ii, 875, Orta Koridor, Assassin / Reset
Parlak Pasif#LGBT, 872, Destek, Enchanter / Disengage
FKKemikKıranFK#FKLLR, 869, Orta Koridor, Skirmisher / Magic
Miyuk#RAMO, 867, Orman, Main: Bel'Veth
nightcore#clshr, 867, Orta Koridor, Assassin / Pack
Ata#369, 865, Orman, Main: Taliyah
Ygtrêce#TR1, 865, Orman, Main: Gragas
your goth soraka#sup, 865, Destek, Enchanter / Heal
Helvete#6ix, 864, Nisanci (ADC), Lane Bully / Snowball
daewi#nox, 864, Orta Koridor, Assassin / Reset
Akûma Undomîell#QeQ, 864, Orta Koridor, Assassin / Reset
zvxdcvbf#y5dgs, 862, Orta Koridor, Assassin / Roam
Naofumi lwatani#TR1, 861, Destek, Main: Leona
Kisuke#1v9Qi, 855, Orta Koridor, Assassin / AD Burst
очень темно#черны, 855, Orta Koridor, Assassin / Shadow
Kick Qorath#40312, 851, Orman, Assassin / One-shot
a waltz for you#ˇˆˇ, 849, Nisanci (ADC), Hypercarry / Siege
sakasiz#saka, 848, Ust Koridor, Main: Irelia
maskelibalo1156#9797, 847, Orman, Skirmisher / Reset
kerimflex#000, 847, Orta Koridor, Assassin / Roam
Maple#JQKA, 847, Orman, Assassin / One-shot
mamisavage#xxxxx, 847, Orta Koridor, Skirmisher / Magic
emolaf#111, 845, Orta Koridor, Assassin / AD Burst
Sangre#Aeon, 845, Nisanci (ADC), Hypercarry / Tank Buster
aizel#999WN, 845, Nisanci (ADC), Lane Bully / Snowball
foe#foe1, 843, Nisanci (ADC), Lane Bully / Snowball
Foreflay#9999, 843, Destek, Engage / Playmaker
Siravia#diva, 843, Nisanci (ADC), Hypercarry / Tank Buster
BeNTeK#YaTo, 836, Ust Koridor, Tank / Splitpush
Şeftali#プディング, 835, Destek, Enchanter / Protect
i hate what i am#bloxa, 834, Orman, Skirmisher / Engage
qanaryq#TR1, 833, Destek, Engage / Playmaker
Uira#222, 832, Orta Koridor, Mage / Mobile
Musthic#AKU, 830, Orta Koridor, Main: Ziggs
JerryRaynor#3536, 828, Orman, Skirmisher / Assassin
KING#CRUEL, 828, Orman, Assassin / Diver
renias#TR1, 825, Nisanci (ADC), Utility / Sniper
SOL BNB ADA BTC#rich, 825, Orman, Engage / Diver
breakcore#clshr, 825, Orta Koridor, Assassin / Pack
yuıoy#TR1, 820, Destek, Poke / Artillery
CİHAT SARSILMAZ#11111, 819, Orman, Skirmisher / Reset
Loki#0651, 819, Ust Koridor, Lane Bully / Juggernaut
Kaharu#TR1, 817, Orman, Skirmisher / Assassin
on my own#1111, 816, Nisanci (ADC), Assassin / Hypercarry
Kuddusi Baba#GAİLE, 815, Destek, Roam / Utility
Sıeáth#TR1, 814, Orta Koridor, Skirmisher / Critical
inside my heart#66666, 814, Orta Koridor, Assassin / AD Burst
Lady Arwen#Solvi, 813, Orta Koridor, Control / Zone
Otenazy#TR068, 813, Destek, Poke / Artillery
Rüzgar#rüz, 813, Orta Koridor, Skirmisher / Critical
PAIN TOLERANCE#1905, 812, Nisanci (ADC), Assassin / Hypercarry
Sypnax#999, 811, Orta Koridor, Assassin / Mage
nerdaliisback#9108, 810, Orman, Playmaker / Skirmisher
bluest flame#1204, 810, Destek, Poke / Mage
Idk Complicated#jihun, 809, Nisanci (ADC), Hypercarry / Weapon Master
ÇiftçiBob#lol, 806, Destek, Mage / DoT
Ohnakinong#TR1, 805, Ust Koridor, Skirmisher / Mobile
smolpaweum#smlpw, 804, Orman, Diver / Lockdown
Jaime Lannister#NOBLE, 803, Orman, Skirmisher / Reset
tears#369, 803, Orta Koridor, Assassin / AD Burst
Necrotyle#necro, 803, Ust Koridor, Juggernaut / Zone
deathcade#333, 802, Nisanci (ADC), Hypercarry / Siege
Atode#lord, 800, Ust Koridor, Skirmisher / Mobile
Hustrucha#001, 798, Nisanci (ADC), Hypercarry / Tank Buster
antichrist#733, 798, Orman, Main: Bel'Veth
dc gg rlp#Li123, 797, Orta Koridor, Assassin / Roam
Shape#epahs, 797, Ust Koridor, Juggernaut / Magic
Bukroshee#神です, 795, Destek, Enchanter / Heal
Yuisha#0229, 794, Destek, Enchanter / Engage
Mirzâ#Siel, 794, Nisanci (ADC), Utility / Sniper
ryangosling#night, 793, Nisanci (ADC), Poke / Mobile
hll#TR1, 792, Orta Koridor, Control / Mage
Madé#drkn, 791, Destek, Enchanter / Disengage
Medwin#384, 791, Nisanci (ADC), Kite / Rend
OGC Gloryiuz#3131, 791, Destek, Hook / Burst
LXSING DREAMS#19323, 789, Orman, Hypercarry / Skirmisher
Fifth Evangelist#JSB, 789, Nisanci (ADC), Bullet Hell / ADC
kaneki#wh1te, 788, Orta Koridor, Skirmisher / Critical
Kâim Bey#TR1, 788, Orta Koridor, Control / Zone
DH Duellant#TR1, 787, Ust Koridor, Fighter / Lane Bully
pablosky#qss, 787, Orman, Power Farm / Mage
ЖЖЖЖЖЖЖЖЖЖЖЖЖЖЖЖ#888, 787, Ust Koridor, Skirmisher / Mobility
ata jungle#nvl, 786, Orta Koridor, Assassin / Roam
Rushh#TR1, 786, Nisanci (ADC), Hypercarry / Tank Buster
paranoya#1006, 786, Orta Koridor, Assassin / AD Burst
cain#1912, 786, Orta Koridor, Assassin / Shadow
JimiDede#TR1, 785, Ust Koridor, Poke / Form Switch
okkDislslt#123, 784, Orta Koridor, Assassin / AD Burst
god bless u#pump, 782, Ust Koridor, Skirmisher / Mobile
Kind#HB1, 782, Orman, Assassin / Diver
zwenix즈웨#sae, 781, Nisanci (ADC), Assassin / Hypercarry
sonsahabe3169#teala, 781, Orman, Juggernaut / Stance
Lexter#0001, 780, Destek, Engage / Playmaker
Lion Media#88888, 779, Orta Koridor, Skirmisher / Magic
NAMAZ KIL #TR1, 778, Orman, Playmaker / Skirmisher
uzak dur#lllll, 777, Nisanci (ADC), Hypercarry / Tank Buster
Qyzo#MICO, 770, Nisanci (ADC), Assassin / Hypercarry
Ridd#B11F, 767, Nisanci (ADC), Hypercarry / Reset
Equinox#Asol, 765, Orta Koridor, Scaling / Mage
Kinetsu#Sooth, 764, Ust Koridor, Skirmisher / Mobile
edru#soe, 763, Orta Koridor, Scaling / Sustain
call me boss#TBMM, 763, Ust Koridor, Splitpush / Undying
good for you#404, 762, Destek, Enchanter / Untargetable
Sakin#WOW, 760, Orta Koridor, Scaling / Mage
çökelek holding#xDDDD, 758, Orta Koridor, Assassin / Shadow
wrath#303, 757, Ust Koridor, Juggernaut / Magic
issey miyake#3446, 756, Nisanci (ADC), Lane Bully / Burst
Moon#711, 756, Orta Koridor, Burst / Control
Jardel#1283, 753, Orta Koridor, Scaling / Sustain
KZN Miraj#Birci, 753, Ust Koridor, Main: Ornn
Beloved Husky#TR1, 750, Ust Koridor, Main: Gwen
Dragut#p4u, 744, Orta Koridor, Mage / Versatile
SenTELLo Şamil#TR1, 744, Orman, Main: Zac
Dr Sabine#TR1, 738, Nisanci (ADC), Hypercarry / Tank Buster
The Rheronis#TR1, 735, Ust Koridor, Main: Shen
Despair#1881, 733, Orman, Assassin / Diver
Reqsa#Rank1, 731, Orman, Skirmisher / Assassin
Whip#111, 725, Orman, Main: Evelynn
Odoridase#123, 721, Orta Koridor, Skirmisher / Critical
Majo莲花#血雨探花, 721, Ust Koridor, Main: Rumble
Neo irfunny baby#TR3, 719, Orman, Main: Taliyah
IXIecutioner#Emre, 717, Orman, Assassin / Diver
Sunny IV#TR1, 715, Orta Koridor, Poke / Burst
ZAFER TÜRİZM#Hsthg, 715, Orman, Assassin / Diver
surf#3290, 714, Ust Koridor, Splitpush / Undying
angelic#lure, 712, Destek, Poke / Mage
sunhaki#274x, 712, Orta Koridor, Scaling / Sustain
自分を憎む#999, 708, Orta Koridor, Skirmisher / Critical
İçinde Gezdiren#YUMOŞ, 707, Destek, Enchanter / Untargetable
BestrafeMich#Recht, 706, Nisanci (ADC), Hypercarry / Reset
debronee#888, 704, Orta Koridor, Assassin / Reset
Calámity#asf, 704, Orta Koridor, Assassin / Shadow
kid a mnesia#null, 703, Orta Koridor, Mage / Mobile
Ryu#もう一つ, 702, Ust Koridor, Duelist / Splitpush
Lynn#7770, 697, Orman, Skirmisher / Reset
hilal yelekci#9595, 692, Ust Koridor, Duelist / Diver
Scorth#2906, 691, Nisanci (ADC), Assassin / Hypercarry
KAJUN LORDU#CAJUN, 690, Orman, Main: Rek'Sai
MF ÁweShøck#sage, 689, Nisanci (ADC), Bullet Hell / ADC
Emilia LeBlanc#argnt, 683, Orta Koridor, Assassin / Mage
SuspectB#3162, 682, Destek, Hook / Burst
old but gold#007, 680, Nisanci (ADC), Sniper / Trap
Sakin Kal Arda#12345, 678, Orta Koridor, Burst / Control
AlwaysandForever#alwys, 677, Ust Koridor, Roam / Marksman
iLLeqaLFaTaL1Ty#TR1, 677, Orta Koridor, Assassin / Shadow
beauty in your#eyess, 674, Destek, Tank / Warden
VEST#vest7, 673, Orman, Assassin / Global
45 cm biceps#Lym, 672, Orman, Skirmisher / Reset
Luxtly#Kaisa, 672, Nisanci (ADC), Assassin / Hypercarry
valeria#baby, 669, Destek, Enchanter / Protect
levila#tr2, 666, Ust Koridor, Juggernaut / Haymaker
TrueAlpha Rengar#Alpha, 664, Orman, Assassin / One-shot
Fasulyesineee#1507, 664, Orta Koridor, Skirmisher / Critical
groza#221, 664, Orta Koridor, Assassin / AD Burst
Schurrle#CAMLC, 660, Destek, Enchanter / Poke
tsuki akari#7778, 658, Orta Koridor, Burst / Control
Alwaysboredlol#TR1, 657, Nisanci (ADC), Hypercarry / Combo
BİLLURLU OYUNCU#TR1, 657, Destek, Enchanter / Engage
Katatonia#555, 656, Nisanci (ADC), Hypercarry / Weapon Master
Maggie Rhee#0602, 655, Destek, Poke / Mage
yoruldum#4080, 654, Orta Koridor, Skirmisher / Magic
LEZBİYEN MURAT#TR1, 651, Orta Koridor, Mage / Versatile
lost you#ash, 651, Orta Koridor, Skirmisher / Critical
khaelth#ffs, 650, Destek, Enchanter / Protect
kirmizi recete#361, 649, Ust Koridor, Main: Irelia
PSYCH0K1LL3R#333, 648, Nisanci (ADC), Main: Xayah
ğğğğğğğğğğğğğğğğ#üüüüü, 647, Nisanci (ADC), Poke / Mobile
kicktv lawilol#lwi, 646, Orman, Playmaker / Skirmisher
Beeevt#3131, 646, Ust Koridor, Skirmisher / Engage
KALOBITAR FUN R1#MADEN, 645, Ust Koridor, Juggernaut / Execute
Exymian#TR1, 644, Destek, Engage / Playmaker
Herif#1100, 641, Orta Koridor, Assassin / Shadow
ozzy#rog, 641, Nisanci (ADC), Hypercarry / Combo
Monerâ#Tr61, 640, Destek, Engage / Playmaker
Coursin#TR1, 640, Destek, Assassin / Support
Mahatma LeKLa#reng, 639, Orman, Assassin / One-shot
değiştim#00000, 634, Orta Koridor, Skirmisher / Magic
serikatil#ttt, 634, Destek, Engage / Playmaker
StaB#31sj, 634, Ust Koridor, Scaling / Hypercarry
PİDE#PİG, 632, Ust Koridor, Fighter / Lane Bully
800kMidSallll#TR1, 632, Orta Koridor, Skirmisher / Critical
Zeta#963, 632, Orman, Assassin / Poke
FL LookLikeGod#DOES, 627, Orman, Assassin / Isolation
Elandel#TR1, 626, Orman, Skirmisher / Carry
beztebya888#4545, 621, Orta Koridor, Tank / Magic Shield
AmeIia#TR1, 621, Orman, Juggernaut / Dragon
Xedz#TR1, 619, Orta Koridor, Assassin / Shadow
SoothSayer35#EUW, 618, Ust Koridor, Skirmisher / Mobile
Pegassuss#TR1, 617, Orta Koridor, Assassin / Shadow
darkse1d#00000, 616, Orta Koridor, Marksman / Roam
Muhammekaiser#TR571, 615, Ust Koridor, Juggernaut / Magic
Estorea#TR1, 614, Destek, Poke / Mage
inco#exo, 614, Orman, Assassin / Diver
GLOXINIA SAMA#242, 614, Ust Koridor, Poke / Form Switch
The Salvatore#099, 613, Nisanci (ADC), Lane Bully / Burst
Lulugs#5601, 613, Orta Koridor, Main: Corki
dolleyicikıral2#s1k3r, 612, Destek, Enchanter / Disengage
Muteki#RK7, 612, Orta Koridor, Scaling / Control Mage
seco#1111, 611, Nisanci (ADC), Hypercarry / Reset
杀手1#coc, 610, Orta Koridor, Assassin / Roam
Conqueror#Roseツ, 609, Nisanci (ADC), Lane Bully / Snowball
arcarcarcarc#0808, 609, Orman, Skirmisher / Engage
aden7#zxc, 607, Nisanci (ADC), Assassin / Hypercarry
sun eater#TR2, 606, Nisanci (ADC), Hypercarry / Stealth
Risphaze#GOD, 605, Orman, Skirmisher / Engage
DOBRAFAZA#4666, 604, Orman, Power Farm / Mage
DΞSTΛN#TR35, 603, Nisanci (ADC), Hypercarry / Combo
Nomad#gdxer, 598, Ust Koridor, Lane Bully / Juggernaut
uA VictorOsimhen#GS1, 598, Ust Koridor, Tank / Engage
六六六六六六六#kog, 598, Nisanci (ADC), Hypercarry / Artillery
Kaann#3636, 597, Orta Koridor, Control / Zone
MrNowan#BABY, 596, Ust Koridor, Transformation / Engage
Turk1shStars#3060, 595, Orta Koridor, Skirmisher / Critical
TARANTUNA#3169, 594, Destek, Enchanter / Cleanse
emınem#3162, 594, Orman, Main: Taliyah
Eda Clawthorne#1104, 592, Destek, Poke / Mage
195CM107KG21CM#TC1, 589, Ust Koridor, Main: Rumble
1LVLTOCHALLENGER#TR007, 587, Orta Koridor, Assassin / Reset
MuhakemeYeteneği#TR1, 586, Orta Koridor, Assassin / Burst
Godfrey#ŞAŞKN, 586, Ust Koridor, Juggernaut / Haymaker
Enama#Mad, 585, Nisanci (ADC), Lane Bully / Burst
dqp#lol, 584, Ust Koridor, Splitpush / Undying
KGB M A R S#1453, 583, Orta Koridor, Assassin / Shadow
asdfqwrdsfgqwe#qweqw, 583, Orta Koridor, Assassin / AD Burst
mirina#mel, 582, Orta Koridor, Assassin / Reset
End Of Life EO#TR1, 581, Nisanci (ADC), Hypercarry / Combo
Shinya#666, 578, Destek, Enchanter / Disengage
LonelyWolf123#TR1, 577, Orta Koridor, Assassin / Roam
manifest1#999, 576, Nisanci (ADC), Main: Xayah
MertcanKeskin#TR1, 575, Ust Koridor, Juggernaut / Drain
Yasena#TR1, 574, Destek, Engage / Playmaker
lil peep turkiye#622, 574, Destek, Enchanter / Disengage
Pompacı Ediz#Ediz, 573, Nisanci (ADC), Main: Nilah
Fhype#TR1, 571, Orta Koridor, Skirmisher / Critical
elonda dans#q77, 570, Nisanci (ADC), Hypercarry / Combo
Nista#VFW, 568, Ust Koridor, Skirmisher / Engage
aspect#lowke, 568, Orta Koridor, Assassin / Roam
Floodchuk#Ryze, 567, Orta Koridor, Main: Ryze
Kengu#TR1, 566, Orta Koridor, Scaling / Sustain
Gesshoku#tsukı, 565, Orta Koridor, Skirmisher / Critical
Rhioni1#TR1, 563, Nisanci (ADC), Lane Bully / Burst
Carryrina#TR1, 563, Orta Koridor, Assassin / Reset
twc smrfng1#twc, 563, Orta Koridor, Mage / Trickster
Afiel#TR1, 563, Ust Koridor, Main: Irelia
Bir Yıldız Kaisa#3131, 560, Nisanci (ADC), Assassin / Hypercarry
Onsra#0104, 560, Orta Koridor, Assassin / Shadow
draconian#death, 559, Destek, Poke / Mage
Myst#TR2, 557, Orta Koridor, Assassin / Mage
Cikey#TR1, 556, Orman, Juggernaut / Diver
yolu yok#dxmn, 556, Orta Koridor, Skirmisher / Magic
Starlight#EUWS, 555, Orman, Juggernaut / Diver
nicole#十十十, 553, Destek, Enchanter / Mage
casual#ties, 552, Orman, Main: Bel'Veth
Ðiø Ðella Førest#TR1, 551, Orman, Skirmisher / Speed
Eilish#Doll, 550, Nisanci (ADC), Utility / Sniper
SARHOŞ OBEZ#2008, 548, Orman, Main: Gragas
highasf#愛愛愛, 548, Orta Koridor, Assassin / Roam
Aqua#lumi, 546, Destek, Enchanter / Protect
Relax Darling#3344, 546, Orta Koridor, Assassin / Reset
Aphelios v2#Aphe, 545, Nisanci (ADC), Hypercarry / Weapon Master
Frieren#Staff, 543, Orman, Assassin / Diver
Stnbl#TR1, 542, Orta Koridor, Skirmisher / Critical
ŞAHBET#ŞAHBO, 542, Nisanci (ADC), Hypercarry / Tank Buster
creaox#acc1, 541, Nisanci (ADC), Assassin / Hypercarry
Rillyeith#TR1, 538, Ust Koridor, Tank / Splitpush
ZehriMar BIG#HYPE, 538, Orta Koridor, Assassin / Shadow
Istag#88888, 536, Orta Koridor, Skirmisher / Critical
yulina#808, 535, Destek, Enchanter / Engage
Playboi Carti#yvI, 534, Nisanci (ADC), Assassin / Hypercarry
tune#roe, 533, Destek, Poke / Mage
ANKA#boks, 532, Orman, Main: Gragas
Neo ZeTHRIV#TR1, 532, Orman, Main: Gragas
Memur 1#GMO, 531, Nisanci (ADC), Hypercarry / Tank Buster
JadeRoc#KÜRDO, 529, Destek, Engage / Playmaker
GodLikeFriqher#grind, 529, Orta Koridor, Scaling / Sustain
hindsight#171, 528, Nisanci (ADC), Hypercarry / Mobile
Sick#911, 528, Orta Koridor, Assassin / Shadow
Through Shadows#TR1, 528, Orta Koridor, Assassin / Shadow
Zetinac#000, 528, Orta Koridor, Assassin / Mobile
sek1m#king, 527, Nisanci (ADC), Lane Bully / Burst
Kim Chaewon#Kibir, 525, Ust Koridor, Juggernaut / Drain
xxxva#1938, 524, Nisanci (ADC), Assassin / Hypercarry
BakireGül#Nurdi, 523, Destek, Poke / Mage
Taso BABA#LMFAO, 522, Orman, Assassin / Diver
Zyr Bahçeleri#TR1, 522, Destek, Engage / Tank
Kendıne Gwen#TR1, 521, Orta Koridor, Main: Azir
DredRS#TR1, 520, Orta Koridor, Assassin / Reset
Kounen#chaos, 518, Orman, Skirmisher / Assassin
katana#xxd, 515, Orta Koridor, Skirmisher / Critical
Shigaraki#MRT, 515, Orta Koridor, Main: Cassiopeia
Zievel#zort, 513, Orman, Assassin / Diver
Renegoush#TR1, 511, Destek, Sustain / Mage
hamburgersewerim#444, 510, Orman, Assassin / Isolation
DikDuranPisVuran#3733, 508, Ust Koridor, Duelist / Diver
sonumu getir#212, 508, Ust Koridor, Main: Jax
FreshKiller#GOD, 507, Nisanci (ADC), Sniper / Trap
THE MACHİNE#6886, 507, Orman, Main: Evelynn
Rodblac#Ghost, 506, Destek, Poke / Artillery
Solded#SLDED, 506, Orman, Main: Bel'Veth
Byleth#999, 505, Nisanci (ADC), Hypercarry / Siege
Challenger Bot#TR2, 505, Nisanci (ADC), Hypercarry / Tank Buster
devilish#1000, 503, Orta Koridor, Assassin / Shadow
BabyClassQ#TR1, 503, Nisanci (ADC), Hypercarry / Combo
Slimeslimeoglu#TR31, 502, Ust Koridor, Juggernaut / Execute
CHA OLUP SALICAM#Tedi, 501, Orman, Skirmisher / Assassin
Fawklê#TR1, 501, Nisanci (ADC), Hypercarry / Mobile
i will cherish u#4GET十, 500, Orta Koridor, Assassin / AD Burst
Khaslana#Kaos, 500, Ust Koridor, Skirmisher / Mobile
KIKA#Now, 500, Destek, Poke / Mage
mystique#xxxxx, 500, Orman, Skirmisher / Carry
young lust#666, 499, Destek, Enchanter / Heal
Şafi in İsrael#Şafi, 499, Destek, Poke / True Damage
honor fizz#TR1, 499, Orta Koridor, Assassin / Burst
eng50DOM6Ps2p60#engel, 499, Orta Koridor, Assassin / AD Burst
ALPERN NAPIYOSON#ADC, 496, Nisanci (ADC), Assassin / Hypercarry
heeeey guuys#fbgn, 494, Orta Koridor, Assassin / Reset
Çekirdek#テオビ, 494, Destek, Enchanter / Heal
NICK WOLTEMADE#DRAKE, 493, Orta Koridor, Skirmisher / Critical
Desir Hermann#4810, 493, Orta Koridor, Main: Annie
EzVayneQQ#TR1, 492, Ust Koridor, Duelist / Splitpush
ceku#baIim, 491, Destek, Enchanter / Disengage
Holløw#TR1, 491, Destek, Enchanter / Engage
Boss429#006, 489, Destek, Enchanter / Poke
let me handle#8390, 488, Destek, Engage / Playmaker
Ballıca Teksas#15ff, 488, Orman, Main: Gragas
sergio ramos#93RMA, 487, Orta Koridor, Skirmisher / Critical
Rug Seller#TR1, 486, Destek, Main: Tahm Kench
MEĞZAME#TR1, 486, Ust Koridor, Duelist / Diver
FUСΚYOULIKEIСAN#asf, 486, Orman, Main: Kindred
odium#numen, 485, Destek, Enchanter / Heal
Bahçevelli#1010, 484, Orta Koridor, Poke / Burst
Seymix#993, 483, Orta Koridor, Skirmisher / Critical
IIIIIIllIIll#llIII, 483, Ust Koridor, Main: Nasus
Eternal Wild#TR1, 482, Ust Koridor, Main: Nasus
Ladyboy Ahmet#1903, 482, Destek, Enchanter / Poke
탑 코리도 킹#1901, 480, Orta Koridor, Scaling / Sustain
09 01 2010#026, 480, Orman, Hypercarry / Skirmisher
6KaraKoyun#Koyun, 480, Orta Koridor, Assassin / Reset
pozitifim#0005, 480, Orman, Main: Bel'Veth
K1NG DOĞUKAN#TR1, 479, Nisanci (ADC), Assassin / Hypercarry
cube sheker#TR12, 479, Orman, Assassin / Poke
Ekkota#mami, 478, Orman, Assassin / Diver
D0KI#TR61, 478, Ust Koridor, Skirmisher / Mobile
BAMBOLEO#TR31, 477, Orta Koridor, Control / Scaling
valentina#fae, 477, Destek, Enchanter / Disengage
mental breakdown#iron4, 477, Ust Koridor, Duelist / Splitpush
Bishu#TR1, 475, Orta Koridor, Scaling / Sustain
Ettelly#TR1, 475, Ust Koridor, Main: Irelia
